date,value
2012-07-17,40504
2012-07-18,34020
2012-07-19,36644
2012-07-20,35675
2012-07-21,36149
2012-07-22,40800
2012-07-23,40413
2012-07-24,38712
2012-07-25,30961
2012-07-26,30559
2012-07-27,32339
2012-07-28,38741
2012-07-29,35848
2012-07-30,36116
2012-07-31,59564
2012-08-01,40578
2012-08-02,42075
2012-08-03,35901
2012-08-04,36278
2012-08-05,37911
2012-08-06,42822
2012-08-07,39049
2012-08-08,51432
2012-08-09,40939
2012-08-10,38295
2012-08-11,38485
2012-08-12,39111
2012-08-13,48601
2012-08-14,43606
2012-08-15,51932
2012-08-16,60615
2012-08-17,57279
2012-08-18,51215
2012-08-19,57927
2012-08-20,48984
2012-08-21,55539
2012-08-22,47300
2012-08-23,43521
2012-08-24,44584
2012-08-25,36374
2012-08-26,35110
2012-08-27,38660
2012-08-28,41047
2012-08-29,37982
2012-08-30,34760
2012-08-31,49678
2012-09-01,43598
2012-09-02,34468
2012-09-03,33612
2012-09-04,45525
2012-09-05,41507
2012-09-06,47563
2012-09-07,43748
2012-09-08,34331
2012-09-09,39703
2012-09-10,37639
2012-09-11,45390
2012-09-12,33567
2012-09-13,35024
2012-09-14,38529
2012-09-15,30133
2012-09-16,31184
2012-09-17,33989
2012-09-18,37898
2012-09-19,42928
2012-09-20,47916
2012-09-21,38617
2012-09-22,27311
2012-09-23,28683
2012-09-24,33444
2012-09-25,45705
2012-09-26,46624
2012-09-27,41321
2012-09-28,51687
2012-09-29,36991
2012-09-30,35060
2012-10-01,38102
2012-10-02,53731
2012-10-03,51360
2012-10-04,50714
2012-10-05,43691
2012-10-06,39632
2012-10-07,43095
2012-10-08,47823
2012-10-09,52626
2012-10-10,47176
2012-10-11,40995
2012-10-12,44701
2012-10-13,39129
2012-10-14,38974
2012-10-15,47015
2012-10-16,41834
2012-10-17,46053
2012-10-18,51219
2012-10-19,44078
2012-10-20,42836
2012-10-21,39296
2012-10-22,42021
2012-10-23,41375
2012-10-24,42251
2012-10-25,38643
2012-10-26,37471
2012-10-27,29910
2012-10-28,27816
2012-10-29,35981
2012-10-30,34928
2012-10-31,31390
2012-11-01,32135
2012-11-02,33393
2012-11-03,32511
2012-11-04,30976
2012-11-05,37460
2012-11-06,42954
2012-11-07,41756
2012-11-08,37595
2012-11-09,36800
2012-11-10,34669
2012-11-11,30394
2012-11-12,31528
2012-11-13,32074
2012-11-14,39530
2012-11-15,45873
2012-11-16,48826
2012-11-17,52322
2012-11-18,44044
2012-11-19,41117
2012-11-20,44744
2012-11-21,43803
2012-11-22,41584
2012-11-23,36519
2012-11-24,36089
2012-11-25,35940
2012-11-26,42639
2012-11-27,37535
2012-11-28,44590
2012-11-29,41205
2012-11-30,37930
2012-12-01,33858
2012-12-02,28210
2012-12-03,30532
2012-12-04,43912
2012-12-05,44654
2012-12-06,38984
2012-12-07,42135
2012-12-08,37725
2012-12-09,37568
2012-12-10,36630
2012-12-11,37496
2012-12-12,43207
2012-12-13,45680
2012-12-14,41691
2012-12-15,35878
2012-12-16,35213
2012-12-17,41616
2012-12-18,47617
2012-12-19,45631
2012-12-20,38978
2012-12-21,45877
2012-12-22,54007
2012-12-23,41727
2012-12-24,39081
2012-12-25,30567
2012-12-26,38979
2012-12-27,36158
2012-12-28,42277
2012-12-29,41463
2012-12-30,43096
2012-12-31,36527
2013-01-01,38733
2013-01-02,40911
2013-01-03,52539
2013-01-04,46781
2013-01-05,53959
2013-01-06,42382
2013-01-07,54059
