date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,active-count_smoothed,gesi_value,MACD,Signal_Line
2023-06-16,26327.4623942173,16324646965.41,43.56,-0.0015638659549131874,398160232.0,958674.0,3776668075.903116,99430086743780.3,935904.0714285715,0.0505,-413.6688469927176,-372.4962248751439
2023-06-17,26510.6764468879,11090276850.25,46.15,0.0006364227354928615,364329623.0,863600.0,2175325693.612937,57669355629974.58,935169.5,0.0505,-351.40622834502574,-368.2782255691203
2023-06-18,26336.213003281,9565695128.64,44.68,0.0016931992093329156,392955523.0,883864.0,1950479880.7942493,51368253599211.48,935449.2142857143,0.0505,-312.53765677664705,-357.1301118106257
2023-06-19,26851.0285455213,12826986222.15,59.05,0.0035655879206273325,369534332.0,920552.0,5228204127.288318,140382658263630.9,938039.4285714285,0.07,-237.45548301271265,-333.1951860510431
2023-06-20,28327.4882643282,22211859146.73,58.91,0.007767750483090627,353920204.0,951926.0,3897871059.861629,110416896704094.8,932255.9285714285,0.07,-58.14411023856883,-278.18497088854826
2023-06-21,30027.296453501,33346760979.13,76.41,0.013235605812103465,314884890.0,920555.0,5891685868.367508,176911398180373.62,926253.5714285715,0.07,218.6018534385912,-178.82760602312038
2023-06-22,29912.281714768,20653160490.91,74.94,0.016116111015463716,356522561.0,1000988.0,4476871257.393661,133913434251906.8,928841.1428571428,0.07,423.7594600281627,-58.31019281286376
2023-06-23,30695.4694074896,24115570084.62,77.78,0.01825554132607075,325294309.0,948738.0,4295642711.518616,131856769436925.34,923741.0,0.07,642.1428200515948,81.78040976002794
2023-06-24,30548.6948247387,12147822495.52,82.83,0.01865700928573009,379943751.0,1011110.0,2769810821.760896,84614105516232.34,928602.6428571428,0.07,794.214513525134,224.26723051304916
2023-06-25,30480.2616057375,12703464114.44,81.88,0.017705407993520456,398160232.0,944147.0,2222325691.744992,67737068457538.91,933713.9285714285,0.07,898.8490648615734,359.18359738275404
2023-06-26,30271.1310167397,16493186997.21,79.92,0.015717100970482404,379943751.0,998904.0,3515517320.6694574,106418685405602.86,934639.4285714285,0.0505,953.9016257337535,478.127203052954
2023-06-27,30688.163854246,16428827943.78,80.94,0.0141110736112335,364329623.0,978594.0,3548784761.5759306,108905688246693.48,937836.0,0.0505,1019.4308769790296,586.3879378381691
2023-06-28,30086.2461885249,14571500779.44,82.91,0.011294193313493756,280122385.0,826245.0,3880455108.003227,116748327702904.08,937697.5714285715,0.0505,1011.1377885013753,671.3379079708104
2023-06-29,30445.3512260882,13180860821.04,82.69,0.009208001888450695,367574940.0,970467.0,5186493187.03279,157904606710926.88,941311.7142857143,0.0505,1021.7639724512665,741.4231208669016
2023-06-30,30477.2512822446,26387306196.78,80.87,0.007338375937939928,397786578.0,1067040.0,5253587194.577619,160114897062324.53,949052.1428571428,0.0505,1020.9900301971174,797.3365027329448
2023-07-01,30590.0790715004,9086606733.0,80.69,0.0057642860045111054,334845664.0,918349.0,3141739113.8542585,96106047914827.38,952962.7857142857,0.0505,1017.7489585688672,841.4189939001294
2023-07-02,30620.7702634481,10533418042.02,82.92,0.004301411978894419,430515854.0,997177.0,1946218416.8312912,59594707024282.64,961056.5714285715,0.0505,1006.0596789178417,874.347130903672
2023-07-03,31156.4394915754,15271884873.11,82.96,0.003949633881740856,344916211.0,977874.0,3558028612.12794,110855503163058.16,965151.0,0.0505,1028.167792216591,905.1112631662559
2023-07-04,30777.5815111677,12810828427.35,72.67,0.002558703957685384,354986758.0,963366.0,3086147729.6531544,94984163304905.1,965968.1428571428,0.0505,1003.5496626920176,924.7989430714083
2023-07-05,30514.16639282,12481622279.55,56.39,0.0007082186215902624,392751304.0,964759.0,3050116810.121032,93071771861570.56,969125.5714285715,0.0505,951.812319148532,930.2016182868331
2023-07-06,29909.3377611007,21129219508.8,50.06,-0.0020868280648134964,349951485.0,973154.0,5006659381.325101,149745866490835.9,967137.4285714285,0.0505,852.1820614870194,914.5977069268704
2023-07-07,30342.2647520959,13384770154.9,45.73,-0.003049199671468531,440586401.0,1021136.0,3087879872.860308,93693268624995.7,972308.7142857143,0.0505,798.948177284743,891.467800998445
2023-07-08,30292.541172642,7509378699.36,46.91,-0.0038900258089797956,448139310.0,1009931.0,1730543820.382496,52422569929997.945,972224.5,0.0505,744.1693422719945,862.008109253155
2023-07-09,30171.2335717583,7903327692.27,46.29,-0.004743967240315587,425480581.0,978223.0,1716596079.879573,51791821274411.27,974658.5,0.0505,683.0939296727411,826.2252733370723
2023-07-10,30414.4715205927,14828209155.42,51.69,-0.004717843594402792,387716031.0,925790.0,3569416296.334092,108561910289992.72,969436.0714285715,0.0505,646.8618737863544,790.3525934269288
2023-07-11,30620.9509380041,12151839151.9,49.14,-0.004252722551195589,339880937.0,937945.0,3194618002.5341296,97822241121262.23,966532.5714285715,0.0505,627.5745826855491,757.7969912786529
2023-07-12,30391.6461439343,14805659716.84,54.32,-0.004495380097844526,383801277.0,942309.0,3887422552.201442,118145170618456.2,974822.8571428572,0.0505,587.0194897584333,723.6414909746089
2023-07-13,31476.0493854442,23686079547.52,62.0,-0.0022513756347143365,321592672.0,874515.0,5521099980.437031,173782415646210.97,967969.1428571428,0.0505,635.0609776452911,705.9253883087454
2023-07-14,30334.0690076907,20917902659.76,48.75,-0.00346964016464293,369831573.0,996373.0,5521099980.437031,173782415646210.97,962921.5,0.0505,574.3650080760781,679.613312262212
2023-07-15,30295.807483728,8011667755.87,47.29,-0.004288376815298392,369831573.0,914738.0,1748986507.8810234,52986958534401.21,962663.5714285715,0.0505,517.2135142447587,647.1333526587214
2023-07-16,30249.1328102967,8516564469.72,46.54,-0.004874563719918034,415390537.0,927843.0,1455153738.1824064,44017138685679.33,957711.1428571428,0.0505,462.8191959636533,610.2705213197079
